2026-09-01 03:26:08 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
2026-09-01 03:26:09 | INFO     | scraper.http_client | GET https://books.toscrape.com/index.html
2026-09-01 03:26:10 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/politics_48/index.html
2026-09-01 03:26:11 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
2026-09-01 03:26:12 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/music_14/index.html
2026-09-01 03:26:13 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
2026-09-01 03:26:14 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
2026-09-01 03:26:15 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
2026-09-01 03:26:16 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
2026-09-01 03:26:17 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/horror_31/index.html
2026-09-01 03:26:18 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
2026-09-01 03:26:19 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/travel_2/index.html
2026-09-01 03:26:20 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/paranormal_24/index.html
2026-09-01 03:26:21 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/parenting_28/index.html
2026-09-01 03:26:22 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/cultural_49/index.html
2026-09-01 03:26:23 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html
2026-09-01 03:26:24 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/biography_36/index.html
